Datetime,Intervall [ms],A51_M1S_494 (Belegungen/Intervall),A51_M1S_494 (Verweilzeit/Intervall) [ms],A54_M4SL_506 (Belegungen/Intervall),A54_M4SL_506 (Verweilzeit/Intervall) [ms],A55_M3S_505 (Belegungen/Intervall),A55_M3S_505 (Verweilzeit/Intervall) [ms],D11 (Belegungen/Intervall),D11 (Verweilzeit/Intervall) [ms],D12 (Belegungen/Intervall),D12 (Verweilzeit/Intervall) [ms],D21 (Belegungen/Intervall),D21 (Verweilzeit/Intervall) [ms],Fiber_reserve (Belegungen/Intervall),Fiber_reserve (Verweilzeit/Intervall) [ms],H51_A74/M1S_493 (Belegungen/Intervall),H51_A74/M1S_493 (Verweilzeit/Intervall) [ms],H54_M3SL_1289 (Belegungen/Intervall),H54_M3SL_1289 (Verweilzeit/Intervall) [ms],H55_A30/M3S_504 (Belegungen/Intervall),H55_A30/M3S_504 (Verweilzeit/Intervall) [ms],LLB-Test (Belegungen/Intervall),LLB-Test (Verweilzeit/Intervall) [ms],Power_on (Belegungen/Intervall),Power_on (Verweilzeit/Intervall) [ms],Sync (Belegungen/Intervall),Sync (Verweilzeit/Intervall) [ms],foult (Belegungen/Intervall),foult (Verweilzeit/Intervall) [ms],Year,Month,Day,Hour
2021-06-02 10:00:00,3600000,17.0,16990.0,4.0,4000.0,21.0,20970.0,100.0,82650.0,200.0,360869.0,274.0,671947.0,0.0,0.0,16.0,15960.0,4.0,4000.0,21.0,20970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,6,2,10
2021-06-02 11:00:00,3600000,16.0,15990.0,4.0,4000.0,20.0,19990.0,116.0,96576.0,208.0,358591.0,309.0,770584.0,0.0,0.0,15.0,14990.0,4.0,4000.0,20.0,19990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,6,2,11
2021-06-02 12:00:00,3600000,15.0,15000.0,5.0,4990.0,21.0,21000.0,119.0,153850.0,197.0,337626.0,284.0,962950.0,0.0,0.0,15.0,15000.0,5.0,4990.0,21.0,20990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,6,2,12
2021-06-02 13:00:00,3600000,17.0,16980.0,5.0,4990.0,20.0,20044.0,112.0,230030.0,195.0,256675.0,335.0,839341.0,0.0,0.0,17.0,16980.0,5.0,5000.0,21.0,20990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,6,2,13
2021-06-02 14:00:00,3600000,17.0,16980.0,6.0,6000.0,23.0,22990.0,114.0,114543.0,220.0,386440.0,282.0,763836.0,0.0,0.0,17.0,16970.0,6.0,5990.0,23.0,23000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,6,2,14
2021-06-02 15:00:00,3600000,16.0,16000.0,4.0,4000.0,21.0,21000.0,120.0,183350.0,238.0,746102.0,357.0,862198.0,0.0,0.0,16.0,15980.0,4.0,4000.0,20.0,19960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,6,2,15
2021-06-02 16:00:00,3600000,16.0,15990.0,4.0,3990.0,19.0,18990.0,97.0,726198.0,217.0,480623.0,334.0,1390886.0,0.0,0.0,16.0,16046.0,4.0,4000.0,20.0,19960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,6,2,16
2021-06-02 17:00:00,3600000,16.0,15990.0,4.0,4000.0,21.0,21000.0,76.0,76320.0,193.0,521460.0,388.0,1248771.0,0.0,0.0,16.0,15990.0,4.0,3990.0,20.0,19990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,6,2,17
2021-06-02 18:00:00,3600000,16.0,15980.0,4.0,4000.0,18.0,17990.0,73.0,53390.0,205.0,484497.0,294.0,761480.0,0.0,0.0,16.0,16000.0,4.0,4000.0,19.0,18970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,6,2,18
2021-06-02 19:00:00,3600000,13.0,12990.0,4.0,4000.0,16.0,16000.0,71.0,62490.0,147.0,209793.0,229.0,486261.0,0.0,0.0,13.0,13000.0,4.0,3990.0,16.0,15990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,6,2,19
2021-06-02 20:00:00,3600000,12.0,12000.0,4.0,3990.0,15.0,14990.0,48.0,36530.0,130.0,201303.0,206.0,421360.0,0.0,0.0,12.0,11990.0,4.0,4000.0,15.0,14970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,6,2,20
2021-06-02 21:00:00,3600000,9.0,9000.0,4.0,4000.0,12.0,11990.0,30.0,24730.0,88.0,75820.0,152.0,164050.0,0.0,0.0,9.0,8990.0,5.0,5000.0,12.0,12000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,6,2,21
